DRR140161_NODE_1	BK068993
SRR2037083_NODE_1250	BK069067
SRR2037083_NODE_1253	BK069068
SRR2037083_NODE_1261	BK069069
SRR2037083_NODE_1273	BK069070
SRR2037083_NODE_1286	BK069071
SRR2037083_NODE_1287	BK069072
SRR2037083_NODE_1289	BK069073
SRR2037083_NODE_1299	BK069074
SRR2037083_NODE_1326	BK069075
SRR2037083_NODE_1336	BK069076
SRR2037083_NODE_1340	BK069077
SRR2037083_NODE_1344	BK069078
SRR2037083_NODE_1351	BK069079
SRR2037083_NODE_1358	BK069080
SRR2037083_NODE_1361	BK069081
SRR2037083_NODE_1365	BK069082
SRR2037083_NODE_1373	BK069083
SRR2037083_NODE_1376	BK069084
SRR2037083_NODE_1378	BK069085
SRR2037083_NODE_1382	BK069086
SRR2037083_NODE_1414	BK069087
SRR2037083_NODE_1418	BK069088
SRR2037083_NODE_1433	BK069089
SRR2037083_NODE_1450	BK069090
SRR2037083_NODE_1462	BK069091
SRR2037083_NODE_1469	BK069092
SRR2037083_NODE_1490	BK069093
SRR2037083_NODE_1507	BK069094
SRR2037083_NODE_1527	BK069095
SRR2037083_NODE_1542	BK069096
SRR2037083_NODE_1555	BK069097
SRR2037083_NODE_1579	BK069098
SRR2037083_NODE_1591	BK069099
SRR2037083_NODE_1601	BK069100
SRR2037083_NODE_1604	BK069101
SRR2037083_NODE_1605	BK069102
SRR2037083_NODE_1617	BK069103
SRR2037083_NODE_1633	BK069104
SRR2037083_NODE_1643	BK069105
SRR2037083_NODE_1645	BK069106
SRR2037083_NODE_1656	BK069107
SRR2037083_NODE_1661	BK069108
SRR2037083_NODE_1663	BK069109
SRR2037083_NODE_1670	BK069110
SRR2037083_NODE_1676	BK069111
SRR2037083_NODE_1680	BK069112
SRR2037083_NODE_1683	BK069113
SRR2037083_NODE_1685	BK069114
SRR2037083_NODE_1688	BK069115
SRR2037083_NODE_1689	BK069116
SRR2037083_NODE_1690	BK069117
SRR2037083_NODE_1695	BK069118
SRR2037083_NODE_1696	BK069119
SRR2037083_NODE_1697	BK069120
SRR2037083_NODE_1708	BK069121
SRR2037083_NODE_1718	BK069122
SRR2037083_NODE_1734	BK069123
SRR2037083_NODE_1760	BK069124
SRR2037083_NODE_1768	BK069125
SRR2037083_NODE_1873	BK069126
SRR2037083_NODE_1875	BK069127
SRR2037083_NODE_1952	BK069128
SRR2037083_NODE_1969	BK069129
SRR2037083_NODE_2001	BK069130
SRR2037083_NODE_2013	BK069131
SRR2037083_NODE_2038	BK069132
SRR2037083_NODE_2093	BK069133
SRR2037083_NODE_2139	BK069134
SRR2037083_NODE_2170	BK069135
SRR2037083_NODE_2173	BK069136
SRR2037083_NODE_2195	BK069137
SRR2037084_NODE_1018	BK069138
SRR2037084_NODE_1055	BK069139
SRR2037084_NODE_1060	BK069140
SRR2037084_NODE_1122	BK069141
SRR2037084_NODE_1162	BK069142
SRR2037084_NODE_1170	BK069143
SRR2037084_NODE_1174	BK069144
SRR2037084_NODE_561	BK069145
SRR2037084_NODE_614	BK069146
SRR2037084_NODE_641	BK069147
SRR2037084_NODE_645	BK069148
SRR2037084_NODE_664	BK069149
SRR2037084_NODE_677	BK069150
SRR2037084_NODE_680	BK069151
SRR2037084_NODE_681	BK069152
SRR2037084_NODE_684	BK069153
SRR2037084_NODE_714	BK069154
SRR2037084_NODE_720	BK069155
SRR2037084_NODE_721	BK069156
SRR2037084_NODE_726	BK069157
SRR2037084_NODE_732	BK069158
SRR2037084_NODE_738	BK069159
SRR2037084_NODE_760	BK069160
SRR2037084_NODE_786	BK069161
SRR2037084_NODE_790	BK069162
SRR2037084_NODE_797	BK069163
SRR2037084_NODE_826	BK069164
SRR2037084_NODE_833	BK069165
SRR2037084_NODE_836	BK069166
SRR2037084_NODE_837	BK069167
SRR2037084_NODE_843	BK069168
SRR2037084_NODE_873	BK069169
SRR2037084_NODE_875	BK069170
SRR2037084_NODE_890	BK069171
SRR2037084_NODE_898	BK069172
SRR2037084_NODE_910	BK069173
SRR2037084_NODE_920	BK069174
SRR2037084_NODE_938	BK069175
SRR2037084_NODE_944	BK069176
SRR2037085_NODE_4266	BK069177
SRR2037085_NODE_4372	BK069178
SRR2037085_NODE_4404	BK069179
SRR2037085_NODE_4434	BK069180
SRR2037085_NODE_4450	BK069181
SRR2037085_NODE_4565	BK069182
SRR2037085_NODE_4574	BK069183
SRR2037085_NODE_4606	BK069184
SRR2037085_NODE_4619	BK069185
SRR2037085_NODE_4624	BK069186
SRR2037085_NODE_4706	BK069187
SRR2037085_NODE_4750	BK069188
SRR2037085_NODE_4845	BK069189
SRR2037085_NODE_4855	BK069190
SRR2037085_NODE_4897	BK069191
SRR2037085_NODE_4916	BK069192
SRR2037085_NODE_4938	BK069193
SRR2037085_NODE_4998	BK069194
SRR2037085_NODE_5010	BK069195
SRR2037085_NODE_5014	BK069196
SRR2037085_NODE_5033	BK069197
SRR2037085_NODE_5063	BK069198
SRR2037085_NODE_5068	BK069199
SRR2037085_NODE_5069	BK069200
SRR2037085_NODE_5079	BK069201
SRR2037085_NODE_5080	BK069202
SRR2037085_NODE_5107	BK069203
SRR2037085_NODE_5108	BK069204
SRR2037085_NODE_5119	BK069205
SRR2037085_NODE_5187	BK069206
SRR2037085_NODE_5200	BK069207
SRR2037085_NODE_5209	BK069208
SRR2037085_NODE_5210	BK069209
SRR2037085_NODE_5212	BK069210
SRR2037085_NODE_5224	BK069211
SRR2037085_NODE_5225	BK069212
SRR2037085_NODE_5233	BK069213
SRR2037085_NODE_5249	BK069214
SRR2037085_NODE_5287	BK069215
SRR2037085_NODE_5288	BK069216
SRR2037085_NODE_5331	BK069217
SRR2037085_NODE_5332	BK069218
SRR2037085_NODE_5337	BK069219
SRR2037085_NODE_5339	BK069220
SRR2037085_NODE_5358	BK069221
SRR2037085_NODE_5362	BK069222
SRR2037085_NODE_5372	BK069223
SRR2037085_NODE_5387	BK069224
SRR2037085_NODE_5390	BK069225
SRR2037085_NODE_5400	BK069226
SRR2037085_NODE_5404	BK069227
SRR2037085_NODE_5412	BK069228
SRR2037085_NODE_5417	BK069229
SRR2037085_NODE_5420	BK069230
SRR2037085_NODE_5425	BK069231
SRR2037085_NODE_5455	BK069232
SRR2037085_NODE_5468	BK069233
SRR2037085_NODE_5475	BK069234
SRR2037085_NODE_5488	BK069235
SRR2037085_NODE_5501	BK069236
SRR2037085_NODE_5504	BK069237
SRR2037085_NODE_5516	BK069238
SRR2037085_NODE_5559	BK069239
SRR2037085_NODE_5570	BK069240
SRR2037085_NODE_5571	BK069241
SRR2037085_NODE_5588	BK069242
SRR2037085_NODE_5626	BK069243
SRR2037085_NODE_5654	BK069244
SRR2037085_NODE_5670	BK069245
SRR2037085_NODE_5740	BK069246
SRR2037085_NODE_5742	BK069247
SRR2037085_NODE_5802	BK069248
SRR2037085_NODE_5809	BK069249
SRR2037085_NODE_5919	BK069250
SRR2037085_NODE_5950	BK069251
SRR2037085_NODE_5966	BK069252
SRR2037085_NODE_5981	BK069253
SRR2037085_NODE_6007	BK069254
SRR2037085_NODE_6009	BK069255
SRR2037085_NODE_6018	BK069256
SRR2037085_NODE_6030	BK069257
SRR2037085_NODE_6060	BK069258
SRR2037085_NODE_6061	BK069259
SRR2037085_NODE_6154	BK069260
SRR2037085_NODE_6189	BK069261
SRR2037085_NODE_6210	BK069262
SRR2037085_NODE_6222	BK069263
SRR2037085_NODE_6234	BK069264
SRR2037085_NODE_6297	BK069265
SRR2037085_NODE_6307	BK069266
SRR2037085_NODE_6325	BK069267
SRR2037085_NODE_6329	BK069268
SRR2037085_NODE_6331	BK069269
SRR2037085_NODE_6346	BK069270
SRR2037085_NODE_6353	BK069271
SRR2037085_NODE_6375	BK069272
SRR2037085_NODE_6378	BK069273
SRR2037085_NODE_6385	BK069274
SRR2037085_NODE_6389	BK069275
SRR2037085_NODE_6391	BK069276
SRR2037085_NODE_6412	BK069277
SRR2037085_NODE_6414	BK069278
SRR2037085_NODE_6425	BK069279
SRR2037085_NODE_6426	BK069280
SRR2037085_NODE_6427	BK069281
SRR2037085_NODE_6428	BK069282
SRR2037085_NODE_6436	BK069283
SRR2037085_NODE_6439	BK069284
SRR2037085_NODE_6441	BK069285
SRR2037085_NODE_6450	BK069286
SRR2037085_NODE_6472	BK069287
SRR2037085_NODE_6473	BK069288
SRR2037085_NODE_6476	BK069289
SRR2037085_NODE_6479	BK069290
SRR2037085_NODE_6480	BK069291
SRR2037085_NODE_6486	BK069292
SRR2037085_NODE_6487	BK069293
SRR2037085_NODE_6489	BK069294
SRR2037085_NODE_6491	BK069295
SRR2037085_NODE_6499	BK069296
SRR2037085_NODE_6508	BK069297
SRR2037085_NODE_6513	BK069298
SRR2037085_NODE_6514	BK069299
SRR2037085_NODE_6531	BK069300
SRR2037085_NODE_6533	BK069301
SRR2037085_NODE_6534	BK069302
SRR2037085_NODE_6544	BK069303
SRR2037085_NODE_6545	BK069304
SRR2037085_NODE_6547	BK069305
SRR2037085_NODE_6550	BK069306
SRR2037085_NODE_6552	BK069307
SRR2037085_NODE_6554	BK069308
SRR2037085_NODE_6558	BK069309
SRR2037085_NODE_6559	BK069310
SRR2037085_NODE_6564	BK069311
SRR2037085_NODE_6565	BK069312
SRR2037085_NODE_6570	BK069313
SRR2037085_NODE_6579	BK069314
SRR2037085_NODE_6586	BK069315
SRR2037085_NODE_6587	BK069316
SRR2037085_NODE_6592	BK069317
SRR2037085_NODE_6602	BK069318
SRR2037085_NODE_6604	BK069319
SRR2037085_NODE_6607	BK069320
SRR2037085_NODE_6615	BK069321
SRR2037085_NODE_6619	BK069322
SRR2037085_NODE_6621	BK069323
SRR2037085_NODE_6624	BK069324
SRR2037085_NODE_6625	BK069325
SRR2037085_NODE_6628	BK069326
SRR2037085_NODE_6631	BK069327
SRR2037085_NODE_6632	BK069328
SRR2037085_NODE_6634	BK069329
SRR2037085_NODE_6636	BK069330
SRR2037085_NODE_6641	BK069331
SRR2037085_NODE_6643	BK069332
SRR2037085_NODE_6645	BK069333
SRR2037085_NODE_6646	BK069334
SRR2037085_NODE_6648	BK069335
SRR2037085_NODE_6653	BK069336
SRR2037085_NODE_6654	BK069337
SRR2037085_NODE_6659	BK069338
SRR2037085_NODE_6668	BK069339
SRR2037085_NODE_6669	BK069340
SRR2037085_NODE_6672	BK069341
SRR2037085_NODE_6689	BK069342
SRR2037085_NODE_6691	BK069343
SRR2037085_NODE_6693	BK069344
SRR2037085_NODE_6695	BK069345
SRR2037085_NODE_6704	BK069346
SRR2037085_NODE_6706	BK069347
SRR2037085_NODE_6710	BK069348
SRR2037085_NODE_6714	BK069349
SRR2037085_NODE_6716	BK069350
SRR2037085_NODE_6719	BK069351
SRR2037085_NODE_6720	BK069352
SRR2037085_NODE_6722	BK069353
SRR2037085_NODE_6789	BK069354
SRR2037085_NODE_6794	BK069355
SRR2037085_NODE_6798	BK069356
SRR2037085_NODE_6800	BK069357
SRR2037085_NODE_6804	BK069358
SRR2037085_NODE_6805	BK069359
SRR2037085_NODE_6819	BK069360
SRR2037085_NODE_6827	BK069361
SRR2037085_NODE_6829	BK069362
SRR2037085_NODE_6833	BK069363
SRR2037085_NODE_6834	BK069364
SRR2037085_NODE_6858	BK069365
SRR2037085_NODE_6879	BK069366
SRR2037085_NODE_6881	BK069367
SRR2037085_NODE_6895	BK069368
SRR2037085_NODE_6955	BK069369
SRR2037085_NODE_7023	BK069370
SRR2037085_NODE_7091	BK069371
SRR2037085_NODE_7098	BK069372
SRR2037085_NODE_7100	BK069373
SRR2037085_NODE_7354	BK069374
SRR2037085_NODE_7436	BK069375
SRR2037085_NODE_7456	BK069376
SRR2037085_NODE_7460	BK069377
SRR2037085_NODE_7468	BK069378
SRR2037085_NODE_7531	BK069379
SRR2037085_NODE_7877	BK069380
SRR2037085_NODE_7941	BK069381
SRR2037085_NODE_7975	BK069382
SRR2037085_NODE_8039	BK069383
SRR2037085_NODE_8055	BK069384
SRR2037085_NODE_8262	BK069385
SRR2037085_NODE_8406	BK069386
SRR2037085_NODE_8414	BK069387
SRR2037085_NODE_8523	BK069388
SRR2037085_NODE_8547	BK069389
SRR2037085_NODE_8590	BK069390
SRR2037085_NODE_8639	BK069391
SRR2037085_NODE_8640	BK069392
SRR2037085_NODE_8719	BK069393
SRR2037085_NODE_8723	BK069394
SRR2037085_NODE_8847	BK069395
SRR2037085_NODE_8911	BK069396
SRR2037085_NODE_8922	BK069397
SRR2037085_NODE_8987	BK069398
SRR2037085_NODE_8994	BK069399
SRR2037085_NODE_9013	BK069400
SRR2037085_NODE_9021	BK069401
SRR2037085_NODE_9022	BK069402
SRR2037085_NODE_9045	BK069403
SRR5681747_NODE_1	BK069404
SRR5681754_NODE_1	BK069405
SRR5681769_NODE_1	BK069406
SRR5681814_NODE_1	BK069407
SRR5681842_NODE_1	BK069408
SRR5681874_NODE_1	BK069409
SRR6316199_NODE_1	BK069410
SRR6316199_NODE_2	BK069411
SRR6316202_NODE_13	BK069412
SRR6316202_NODE_17	BK069413
SRR6316203_NODE_11	BK069414
SRR6316203_NODE_12	BK069415
SRR6316203_NODE_13	BK069416
SRR6316203_NODE_14	BK069417
SRR6316203_NODE_17	BK069418
SRR6316203_NODE_18	BK069419
SRR6316203_NODE_21	BK069420
SRR6316203_NODE_22	BK069421
SRR6316203_NODE_23	BK069422
SRR6316203_NODE_6	BK069423
SRR6316203_NODE_8	BK069424
SRR6316203_NODE_9	BK069425
SRR6316205_NODE_1	BK069426
SRR6316205_NODE_2	BK069427
SRR6316205_NODE_3	BK069428
SRR6316205_NODE_4	BK069429
SRR6316205_NODE_5	BK069430
SRR6316207_NODE_12	BK069431
SRR6316207_NODE_13	BK069432
SRR6316207_NODE_1	BK069433
SRR6316207_NODE_2	BK069434
SRR6316207_NODE_3	BK069435
SRR6316207_NODE_4	BK069436
SRR6316207_NODE_7	BK069437
SRR6316209_NODE_21	BK069438
SRR6316209_NODE_22	BK069439
SRR6316209_NODE_24	BK069440
SRR6316209_NODE_27	BK069441
SRR6316209_NODE_30	BK069442
SRR6316209_NODE_32	BK069443
SRR6316209_NODE_38	BK069444
SRR6316209_NODE_40	BK069445
SRR6316209_NODE_42	BK069446
SRR6316209_NODE_43	BK069447
SRR6316209_NODE_47	BK069448
SRR6316209_NODE_53	BK069449
SRR6316209_NODE_54	BK069450
SRR6316211_NODE_18	BK069451
SRR6316211_NODE_20	BK069452
SRR6316211_NODE_22	BK069453
SRR6316211_NODE_23	BK069454
SRR6316213_NODE_20	BK069455
SRR6316217_NODE_10	BK069456
SRR6316217_NODE_3	BK069457
SRR6316217_NODE_5	BK069458
SRR6316217_NODE_7	BK069459
SRR6316217_NODE_8	BK069460
SRR6316217_NODE_9	BK069461
SRR6316221_NODE_10	BK069462
SRR6316221_NODE_11	BK069463
SRR6316221_NODE_14	BK069464
SRR6316221_NODE_16	BK069465
SRR6316221_NODE_17	BK069466
SRR6316221_NODE_19	BK069467
SRR6316221_NODE_20	BK069468
SRR6316221_NODE_4	BK069469
SRR6316221_NODE_5	BK069470
SRR6316221_NODE_6	BK069471
SRR6316221_NODE_7	BK069472
SRR6316221_NODE_8	BK069473
SRR6316221_NODE_9	BK069474
SRR6316226_NODE_12	BK069475
SRR6316226_NODE_1	BK069476
SRR6316226_NODE_2	BK069477
SRR6316226_NODE_4	BK069478
SRR6316226_NODE_7	BK069479
SRR6316226_NODE_8	BK069480
SRR6316226_NODE_9	BK069481
SRR6316231_NODE_1	BK069482
SRR6316231_NODE_5	BK069483
SRR6316233_NODE_10	BK069484
SRR6316233_NODE_11	BK069485
SRR6316233_NODE_14	BK069486
SRR6316233_NODE_15	BK069487
SRR6316233_NODE_16	BK069488
SRR6316233_NODE_17	BK069489
SRR6316233_NODE_1	BK069490
SRR6316233_NODE_21	BK069491
SRR6316233_NODE_22	BK069492
SRR6316233_NODE_23	BK069493
SRR6316233_NODE_24	BK069494
SRR6316233_NODE_25	BK069495
SRR6316233_NODE_27	BK069496
SRR6316233_NODE_2	BK069497
SRR6316233_NODE_30	BK069498
SRR6316233_NODE_31	BK069499
SRR6316233_NODE_32	BK069500
SRR6316233_NODE_33	BK069501
SRR6316233_NODE_3	BK069502
SRR6316233_NODE_4	BK069503
SRR6316233_NODE_5	BK069504
SRR6316233_NODE_7	BK069505
SRR6316233_NODE_8	BK069506
SRR6316233_NODE_9	BK069507
SRR6316236_NODE_3	BK069508
SRR6316236_NODE_4	BK069509
SRR6316237_NODE_63	BK069510
SRR6316240_NODE_10	BK069511
SRR6316240_NODE_11	BK069512
SRR6316240_NODE_12	BK069513
SRR6316240_NODE_13	BK069514
SRR6316240_NODE_17	BK069515
SRR6316240_NODE_1	BK069516
SRR6316240_NODE_20	BK069517
SRR6316240_NODE_21	BK069518
SRR6316240_NODE_22	BK069519
SRR6316240_NODE_23	BK069520
SRR6316240_NODE_24	BK069521
SRR6316240_NODE_27	BK069522
SRR6316240_NODE_2	BK069523
SRR6316240_NODE_3	BK069524
SRR6316240_NODE_4	BK069525
SRR6316240_NODE_9	BK069526
SRR6316241_NODE_4	BK069527
SRR6316241_NODE_7	BK069528
SRR6316245_NODE_11	BK069529
SRR6316245_NODE_12	BK069530
SRR6316245_NODE_13	BK069531
SRR6316245_NODE_14	BK069532
SRR6316245_NODE_15	BK069533
SRR6316245_NODE_16	BK069534
SRR6316245_NODE_18	BK069535
SRR6316245_NODE_19	BK069536
SRR6316245_NODE_1	BK069537
SRR6316245_NODE_21	BK069538
SRR6316245_NODE_3	BK069539
SRR6316245_NODE_8	BK069540
SRR6316245_NODE_9	BK069541
SRR6316247_NODE_10	BK069542
SRR6316247_NODE_11	BK069543
SRR6316247_NODE_12	BK069544
SRR6316247_NODE_13	BK069545
SRR6316247_NODE_14	BK069546
SRR6316247_NODE_5	BK069547
SRR6316247_NODE_6	BK069548
SRR6316247_NODE_7	BK069549
SRR6316256_NODE_10	BK069550
SRR6316256_NODE_14	BK069551
SRR6316257_NODE_11	BK069552
SRR6316257_NODE_13	BK069553
SRR6316257_NODE_15	BK069554
SRR6316257_NODE_16	BK069555
SRR6316257_NODE_17	BK069556
SRR6316257_NODE_18	BK069557
SRR6316257_NODE_1	BK069558
SRR6316257_NODE_20	BK069559
SRR6316257_NODE_22	BK069560
SRR6316257_NODE_24	BK069561
SRR6316257_NODE_25	BK069562
SRR6316257_NODE_2	BK069563
SRR6316257_NODE_3	BK069564
SRR6316257_NODE_4	BK069565
SRR6316257_NODE_6	BK069566
SRR6316257_NODE_8	BK069567
SRR6316259_NODE_1	BK069568
SRR6316261_NODE_1	BK069569
SRR6316270_NODE_10	BK069570
SRR6316270_NODE_11	BK069571
SRR6316270_NODE_12	BK069572
SRR6316270_NODE_13	BK069573
SRR6316270_NODE_2	BK069574
SRR6316270_NODE_4	BK069575
SRR6316270_NODE_6	BK069576
SRR6316270_NODE_7	BK069577
SRR6316272_NODE_3	BK069578
SRR6316272_NODE_5	BK069579
SRR6316273_NODE_1	BK069580
SRR6316275_NODE_4	BK069581
SRR6316275_NODE_6	BK069582
SRR6316277_NODE_1	BK069583
SRR6316277_NODE_2	BK069584
SRR6316277_NODE_3	BK069585
SRR6316277_NODE_4	BK069586
SRR6316284_NODE_11	BK069587
SRR6316284_NODE_12	BK069588
SRR6316284_NODE_14	BK069589
SRR6316284_NODE_19	BK069590
SRR6316284_NODE_6	BK069591
SRR6316286_NODE_1	BK069592
SRR6316286_NODE_2	BK069593
SRR6316286_NODE_4	BK069594
SRR6316286_NODE_6	BK069595
SRR6316286_NODE_7	BK069596
SRR6316286_NODE_8	BK069597
SRR6316292_NODE_1	BK069598
SRR6316292_NODE_2	BK069599
SRR6316294_NODE_1	BK069600
SRR6316294_NODE_2	BK069601
SRR6316294_NODE_3	BK069602
SRR6316294_NODE_4	BK069603
SRR6316294_NODE_5	BK069604
SRR6316294_NODE_8	BK069605
SRR6316295_NODE_1	BK069606
SRR6316298_NODE_11	BK069607
SRR6316298_NODE_12	BK069608
SRR6316298_NODE_13	BK069609
SRR6316298_NODE_14	BK069610
SRR6316298_NODE_17	BK069611
SRR6316298_NODE_19	BK069612
SRR6316298_NODE_1	BK069613
SRR6316298_NODE_20	BK069614
SRR6316298_NODE_21	BK069615
SRR6316298_NODE_22	BK069616
SRR6316298_NODE_23	BK069617
SRR6316298_NODE_24	BK069618
SRR6316298_NODE_26	BK069619
SRR6316298_NODE_27	BK069620
SRR6316298_NODE_29	BK069621
SRR6316298_NODE_30	BK069622
SRR6316298_NODE_31	BK069623
SRR6316298_NODE_3	BK069624
SRR6316298_NODE_4	BK069625
SRR6316298_NODE_6	BK069626
SRR6316298_NODE_7	BK069627
SRR6316298_NODE_8	BK069628
SRR6316298_NODE_9	BK069629
SRR6316299_NODE_14	BK069630
SRR6316302_NODE_1	BK069631
SRR6316302_NODE_2	BK069632
SRR6316302_NODE_4	BK069633
SRR6316302_NODE_9	BK069634
SRR6316304_NODE_10	BK069635
SRR6316304_NODE_14	BK069636
SRR6316304_NODE_15	BK069637
SRR6316304_NODE_1	BK069638
SRR6316304_NODE_2	BK069639
SRR6316304_NODE_5	BK069640
SRR6316304_NODE_6	BK069641
SRR6316304_NODE_8	BK069642
SRR6316306_NODE_1	BK069643
SRR6316306_NODE_3	BK069644
SRR6316307_NODE_11	BK069645
SRR6316307_NODE_2	BK069646
SRR6316307_NODE_3	BK069647
SRR6316307_NODE_5	BK069648
SRR6316307_NODE_7	BK069649
SRR6316307_NODE_8	BK069650
SRR6316308_NODE_12	BK069651
SRR6316308_NODE_13	BK069652
SRR6316308_NODE_17	BK069653
SRR6316308_NODE_18	BK069654
SRR6316308_NODE_19	BK069655
SRR6316308_NODE_1	BK069656
SRR6316308_NODE_2	BK069657
SRR6316308_NODE_3	BK069658
SRR6316308_NODE_5	BK069659
SRR6316308_NODE_6	BK069660
SRR6316308_NODE_7	BK069661
SRR6316308_NODE_9	BK069662
SRR6316314_NODE_10	BK069663
SRR6316314_NODE_1	BK069664
SRR6316314_NODE_2	BK069665
SRR6316314_NODE_3	BK069666
SRR6316314_NODE_5	BK069667
SRR6316316_NODE_10	BK069668
SRR6316316_NODE_12	BK069669
SRR6316316_NODE_14	BK069670
SRR6316316_NODE_15	BK069671
SRR6316316_NODE_16	BK069672
SRR6316316_NODE_18	BK069673
SRR6316316_NODE_19	BK069674
SRR6316316_NODE_1	BK069675
SRR6316316_NODE_3	BK069676
SRR6316316_NODE_4	BK069677
SRR6316316_NODE_6	BK069678
SRR6316316_NODE_7	BK069679
SRR6316316_NODE_8	BK069680
SRR6316316_NODE_9	BK069681
SRR6316317_NODE_3	BK069682
SRR6316317_NODE_5	BK069683
SRR6316318_NODE_3	BK069684
SRR7166752_NODE_1	BK069685
SRR7166758_NODE_3	BK069686
SRR7166762_NODE_21	BK069687
SRR7166762_NODE_22	BK069688
SRR7166762_NODE_30	BK069689
SRR7166766_NODE_46	BK069690
SRR7166769_NODE_103	BK069691
SRR7166769_NODE_106	BK069692
SRR7166769_NODE_118	BK069693
SRR7166769_NODE_89	BK069694
SRR7166769_NODE_99	BK069695
SRR7166770_NODE_76	BK069696
SRR7166772_NODE_76	BK069697
SRR7166772_NODE_78	BK069698
SRR7166785_NODE_8	BK069699
SRR7166790_NODE_13	BK069700
SRR7166790_NODE_15	BK069701
SRR7166790_NODE_18	BK069702
SRR7166791_NODE_102	BK069703
SRR7166791_NODE_72	BK069704
SRR7166791_NODE_91	BK069705
SRR7166809_NODE_1	BK069706
SRR7166822_NODE_5	BK069707
SRR7166824_NODE_10	BK069708
SRR7166826_NODE_11	BK069709
SRR7166826_NODE_20	BK069710
SRR7166826_NODE_23	BK069711
SRR7166829_NODE_7	BK069712
SRR7166831_NODE_27	BK069713
SRR7166851_NODE_3	BK069714
SRR7166860_NODE_1	BK069715
SRR7166865_NODE_11	BK069716
SRR7166877_NODE_24	BK069717
SRR7166877_NODE_44	BK069718
SRR7166883_NODE_12	BK069719
SRR7166883_NODE_14	BK069720
SRR7166883_NODE_5	BK069721
SRR7166884_NODE_17	BK069722
SRR7166890_NODE_17	BK069723
SRR7166916_NODE_37	BK069724
SRR7166916_NODE_38	BK069725
SRR7166916_NODE_41	BK069726
SRR7166917_NODE_46	BK069727
SRR7166924_NODE_62	BK069728
SRR7166925_NODE_42	BK069729
SRR7166926_NODE_53	BK069730
SRR7166940_NODE_4	BK069731
SRR7166943_NODE_1	BK069732
SRR7166946_NODE_2	BK069733
SRR7166946_NODE_3	BK069734
SRR7166951_NODE_74	BK069735
SRR7166956_NODE_273	BK069736
SRR7166961_NODE_44	BK069737
SRR7166964_NODE_8	BK069738
SRR7166965_NODE_6	BK069739
SRR7166991_NODE_18	BK069740
SRR7166992_NODE_29	BK069741
SRR7167010_NODE_4	BK069742
SRR7167010_NODE_6	BK069743
SRR7167016_NODE_82	BK069744
SRR7167018_NODE_55	BK069745
SRR7167018_NODE_56	BK069746
SRR7167018_NODE_60	BK069747
SRR7167018_NODE_73	BK069748
SRR7167022_NODE_102	BK069749
SRR7167022_NODE_112	BK069750
SRR7167022_NODE_78	BK069751
SRR7167026_NODE_12	BK069752
SRR7167030_NODE_11	BK069753
